ctgov,loglik,aic,dist,parameter,est,se
NCT00402233,-271.4,546.8,gompertz,rate,-5.672,0.2664
NCT00466167,-549.2,1102,lnorm,meanlog,8.838,0.4654
NCT00466167,-549.2,1102,lnorm,sdlog,1.127,0.105
NCT00472199,-661.3,1327,gompertz,shape,-0.01473,0.002375
NCT00472199,-661.3,1327,gompertz,rate,-5.224,0.157
NCT00479401,-760.6,1525,lnorm,meanlog,8.399,0.3654
NCT00479401,-760.6,1525,lnorm,sdlog,1.172,0.08613
NCT00525512,-1334,2671,lnorm,meanlog,7.857,0.1989
NCT00525512,-1334,2671,lnorm,sdlog,0.9799,0.06467
NCT00563381,-10360,20720,gompertz,shape,-0.005644,3.04e-4
NCT00563381,-10360,20720,gompertz,rate,-6.737,0.04598
NCT00601250,-443.9,891.8,llogis,shape,-0.1843,0.1372
NCT00601250,-443.9,891.8,llogis,scale,8.207,0.4604
NCT00602472,-671.6,1345,exp,rate,-7.721,0.114
NCT00622284,-3147,6299,lnorm,meanlog,8.552,0.144
NCT00622284,-3147,6299,lnorm,sdlog,0.9732,0.04414
NCT00641043,-279.5,563.1,llogis,shape,-0.3444,0.1704
NCT00641043,-279.5,563.1,llogis,scale,8.49,0.6367
NCT00654381,-269.4,542.7,lnorm,meanlog,7.078,0.2233
NCT00654381,-269.4,542.7,lnorm,sdlog,-0.2899,0.169
NCT00734474,-3574,7152,llogis,shape,-0.06063,0.04361
NCT00734474,-3574,7152,llogis,scale,7.051,0.07208
NCT00740051,-413.1,830.2,lnorm,meanlog,7.356,0.2794
NCT00740051,-413.1,830.2,lnorm,sdlog,0.6377,0.1186
NCT00772538,-409.9,823.8,llogis,shape,-0.4692,0.1437
NCT00772538,-409.9,823.8,llogis,scale,9.334,0.5732
NCT00776984,-456.4,914.8,exp,rate,-7.949,0.14
NCT00782210,-983.7,1971,llogis,shape,-0.3268,0.08719
NCT00782210,-983.7,1971,llogis,scale,7.824,0.2354
NCT00782509,-839.1,1682,lnorm,meanlog,8.808,0.3454
NCT00782509,-839.1,1682,lnorm,sdlog,1.078,0.08581
NCT00793624,-1391,2785,gompertz,shape,-0.005547,8.734e-4
NCT00793624,-1391,2785,gompertz,rate,-6.598,0.1255
NCT00798161,-806.5,1617,gompertz,shape,-0.007416,0.002116
NCT00798161,-806.5,1617,gompertz,rate,-6.575,0.172
NCT00800683,-273,550,gompertz,shape,-0.002802,0.001683
NCT00800683,-273,550,gompertz,rate,-6.627,0.2968
NCT00848081,-270.7,545.4,lnorm,meanlog,6.72,0.4087
NCT00848081,-270.7,545.4,lnorm,sdlog,0.6387,0.1452
